a30dBm_output n_crc_correct/n_crc:295/600
a32dBm_output n_crc_correct/n_crc:600/600
a35dBm_output n_crc_correct/n_crc:597/600
a38dBm_output n_crc_correct/n_crc:364/602
a41dBm_output n_crc_correct/n_crc:600/600
a47dBm_output n_crc_correct/n_crc:263/600
a50dBm_output n_crc_correct/n_crc:495/600
a53dBm_output n_crc_correct/n_crc:600/600
a56dBm_output n_crc_correct/n_crc:584/600
a59dBm_output n_crc_correct/n_crc:599/600
a62dBm_output n_crc_correct/n_crc:600/600
a65dBm_output n_crc_correct/n_crc:261/600
a68dBm_output n_crc_correct/n_crc:0/0
a71dBm_output n_crc_correct/n_crc:599/600
a74dBm_output n_crc_correct/n_crc:438/600
a77dBm_output n_crc_correct/n_crc:0/600
